what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1354911988463
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1354911988508
started,bundle,org.eclipse.m2e.discovery,1.0.0.20110607-2117,"org.eclipse.m2e.discovery",1354911988584
started,bundle,com.adobe.flexbuilder.debug.ui,4.6.0.328916,"com.adobe.flexbuilder.debug.ui",1354911988995
started,bundle,org.eclipse.epp.mpc.ui,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.ui",1354911988999
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1354911989086
started,bundle,com.adobe.flexide.nativelibs,4.6.0.328916,"com.adobe.flexide.nativelibs",1354911989267
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1354911989674
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1354911989675
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1354911989907
started,bundle,com.qnx.tools.bbt.core,1.1.0.201110311231,"com.qnx.tools.bbt.core",1354911989965
started,bundle,com.qnx.flexide.multiplatform.qnx,1.2.0.201110311231,"com.qnx.flexide.multiplatform.qnx",1354911990002
started,bundle,com.qnx.flashbuilder.multiplatform.qnx.ui,1.2.0.201110311231,"com.qnx.flashbuilder.multiplatform.qnx.ui",1354911990006
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1354911990214
started,bundle,com.adobe.flexbuilder.project.ui,4.6.0.328916,"com.adobe.flexbuilder.project.ui",1354911990707
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1354911990720
started,bundle,com.adobe.flexbuilder.mxmlmodel,4.6.0.328916,"com.adobe.flexbuilder.mxmlmodel",1354911990781
started,bundle,com.adobe.flashbuilder.project.multiplatform.ui,4.6.0.328916,"com.adobe.flashbuilder.project.multiplatform.ui",1354911991009
started,bundle,com.adobe.flexbuilder.exportimport,4.6.0.328916,"com.adobe.flexbuilder.exportimport",1354911991075
started,bundle,com.adobe.flashbuilder.multiplatform.ios.ui,4.6.0.328916,"com.adobe.flashbuilder.multiplatform.ios.ui",1354911991122
started,bundle,com.adobe.flashbuilder.multiplatform.android.ui,4.6.0.328916,"com.adobe.flashbuilder.multiplatform.android.ui",1354911991185
started,bundle,com.adobe.flexide.launching,4.6.0.328916,"com.adobe.flexide.launching",1354911991294
started,bundle,com.adobe.flexbuilder.flex,4.6.0.328916,"com.adobe.flexbuilder.flex",1354911992803
started,bundle,com.adobe.flexide.multiplatform.ios,4.6.0.328916,"com.adobe.flexide.multiplatform.ios",1354911993633
started,bundle,com.adobe.flexide.launching.multiplatform,4.6.0.328916,"com.adobe.flexide.launching.multiplatform",1354911993774
started,bundle,com.adobe.flexide.multiplatform.android,4.6.0.328916,"com.adobe.flexide.multiplatform.android",1354911994115
started,bundle,com.adobe.flexide.project.multiplatform,4.6.0.328916,"com.adobe.flexide.project.multiplatform",1354911994138
